speed,volume,occupancy
53,5,2
51,5,2
49,7,3
,4,2
35,,2
61,,1
46,,3
52,,6
58,6,2
49,4,1
59,2,
50,4,2
35,7,2
50,,
59,,3
66,,
41,7,2
55,4,5
,7,2
,7,4
58,7,5
53,6,3
,6,8
43,7,2
50,,4
45,5,2
53,5,1
32,,5
55,6,3
36,,
55,2,
58,7,
41,9,
50,7,
58,7,
48,8,4
55,8,3
46,7,2
,7,2
51,13,5
62,8,6
53,6,1
,5,3
58,7,3
36,5,2
51,7,6
,,1
18,,1
53,,2
,,6
41,,8
44,,1
47,,2
53,5,3
44,7,3
,6,7
,4,2
,10,7
40,6,8
46,8,5
40,6,6
38,,
36,5,2
53,10,10
40,5,3
,10,
51,8,3
52,6,2
18,2,1
54,7,5
,3,1
50,3,1
39,7,4
,,
,,
58,5,2
31,4,6
57,5,3
67,6,3
19,3,3
64,4,5
38,6,3
63,6,4
46,6,4
,,
,,
61,4,1
71,5,0
56,4,2
54,4,1
41,9,5
45,5,3
51,6,8
48,3,1
56,7,2
47,5,2
45,6,2
18,2,1
,,
,,
,,
,,
,,
,,
51,6,2
37,7,4
42,8,3
30,5,2
18,3,2
61,8,3
53,4,2
46,5,3
,,
,,
,,
,,
,,
46,7,5
52,4,1
52,8,4
59,7,4
49,11,5
55,10,6
43,5,3
56,7,2
53,5,2
42,9,4
54,7,4
52,8,4
36,8,4
45,4,1
38,5,1
46,4,3
,,
,,
,,
,,
,,
27,7,6
43,7,4
40,10,7
48,7,4
37,5,3
49,5,2
44,6,3
50,10,4
44,4,5
50,8,2
49,8,5
54,6,3
38,4,2
24,2,2
49,6,4
55,7,3
60,7,2
41,5,2
85,3,4
68,6,2
30,6,2
56,8,6
56,6,2
57,11,5
68,7,3
,,
,,
,,
,,
,,
,,
,,
,,
50,3,1
46,6,3
45,11,4
63,6,2
57,5,3
38,9,3
43,4,3
45,6,2
62,5,2
43,7,4
66,8,4
57,3,3
63,5,2
35,4,4
43,6,3
48,7,3
59,9,3
25,5,4
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
36,6,7
53,5,2
54,5,1
6,1,6
42,10,8
36,5,4
49,7,4
53,8,4
43,6,5
55,9,6
53,8,3
32,5,3
35,4,1
45,6,3
45,6,3
52,9,4
42,8,4
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
29,2,1
48,10,6
47,9,5
36,6,3
44,9,5
59,6,3
47,10,5
39,10,7
34,7,9
46,6,3
53,,
39,,
42,,6
36,6,4
49,4,3
37,8,7
29,7,5
47,5,2
32,8,6
33,8,6
42,,5
36,9,3
46,6,5
46,5,4
41,9,3
45,,3
43,7,2
0,0,0
27,3,4
44,8,3
36,5,
58,10,
51,6,
39,12,
26,6,
50,8,
54,5,
41,8,
55,3,
37,4,
57,10,12
46,8,4
52,5,3
54,3,0
32,5,3
42,8,6
44,8,5
43,11,7
50,6,5
49,9,4
,,
,,
,,
,,
,,
,,
,,
,,
,,
49,7,3
36,4,2
49,8,5
40,4,2
59,6,2
25,5,5
34,7,4
50,10,4
61,2,9
55,8,6
47,5,6
44,6,3
44,4,2
44,9,5
,8,5
,6,2
,8,2
,7,4
,10,7
,6,4
,3,1
,6,3
,8,3
,0,0
,6,2
,2,1
,8,6
,11,6
,6,2
,0,0
51,6,1
48,7,2
38,6,4
39,4,2
49,7,2
44,11,9
51,6,1
70,4,1
47,10,5
46,7,2
62,2,1
44,5,2
59,3,1
41,10,4
56,6,2
46,4,1
52,3,1
55,5,2
54,3,1
60,1,1
55,2,0
41,4,3
44,7,5
48,8,4
39,4,2
47,8,2
40,5,1
39,9,6
62,3,2
49,2,0
30,5,4
50,5,1
38,7,3
33,5,3
54,2,0
49,4,1
37,5,2
53,2,0
33,4,1
52,4,2
54,4,1
62,2,0
46,4,2
51,4,1
58,5,2
,,
,,
,,
,,
,,
,,
,,
61,2,0
58,4,1
47,3,0
58,8,3
65,3,1
69,3,1
49,5,2
52,4,1
55,3,1
55,4,1
70,5,5
30,3,3
54,5,2
54,1,0
53,1,0
,3,0
,4,2
,2,1
,4,3
,2,0
,5,2
,2,1
,3,1
61,3,1
66,3,1
53,2,0
48,4,1
69,4,2
53,3,1
86,2,3
